comments
这剧最牛逼的地方就是不论什么角，说死就死
「长夜将至，我从今开始守望，至死方休。我将不娶妻、不封地、不生子。我将不戴宝冠，不争荣宠。我将尽忠职守，生死於斯。我是黑暗中的利剑，长城中的守卫。我是抵御寒冷的烈焰，破晓时分的光线，唤醒死者的号角，守护王国的铁卫。我将生命与荣耀献给守夜人，今夜如此，夜夜皆然。」残暴、惊艳
"看完黑道家族我以为这就是美剧的终结，没想到有了广告狂人，广告狂人断档的时候我以为没有什么剧集可以做替补，没想到有了权力的游戏。

这必将成为神作，永垂千史。"
1.女龙人长得好像徐若瑄。2.艾德真是大愚若智，还一直以为他有什么大谋略.....3.看过原著的人的影评写得真是咄咄逼人，你们这帮逼人，不就早看两天书嘛，不装会死吗？
看了这个才发现“东邪西毒南帝北丐”这句话说的一点也不假，看来是世界规律啊！
"演员普遍比原著里老7岁……
原本书里虽然已到中年仍然风华绝代的皇后，一出场就让人看出她已经中年了……"
每匹狼都是亮点!! adorable creatures!!!
超出预期，如此简单的四个字已胜过一切溢美之辞。
马丁你直接捅死我吧..... 一家子整得这么惨。
马丁，赶紧写，好么？
这是我活到现在最爱的一部美剧，在它面前我觉得我的评论都是废话，我从昨晚一直纠结到今晚，等明年再看第二季我如何等的下去，现在就追看5卷书又害怕会对剧集没有爱，超级矛盾。还有我最爱的是小恶魔和私生子囧恩以及龙妈和卓戈一对儿，这样没问题么？某人被枕头闷死时我被虐到哭死。书我追定了！
细节太精致了，精致到不像真的。
乔弗里长得真他妈的丑，嘴巴像个八十岁老太婆一样瘪。珊莎·史塔克长的就是一副尖酸刻薄的样子让人恶心，最重要的还是个缺心眼的败家娘们儿。瑟曦·兰尼斯特一看就长这个奸妃的脸，欲求不满四个字写满脸上难怪跟她哥通奸的如鱼得水。算了不吐槽了，反正凛冬将至。
尺度我喜欢。
①萌狼萌狼萌狼www②银发龙女真是帅爆了！！！③欧美人名记忆障碍的人其实很不喜欢有这么多人物出场~④这剧的便当率似乎很高= =⑤对Night's Watch异常喜欢~特别是那段誓言~⑥这剧真是各种血腥暴力色情BL百合orz ⑦其实论勾心斗角的戏码比不上《金枝欲孽》这种的吧~
HBO出品，必属精品
"实在不知道为什么那么多人喜欢...无聊透顶的片子...还号称魔幻...啥都没有,魔法呢,斗气呢,兽人食尸鬼呢,都在哪啊...说好的是不是都是没玩过魔兽的啊????"
剧情支离破碎，完全靠对话支撑。演技作死。
编剧和细节都无与伦比！不过就第一集的速度来看，每一集信息量非常足，没看过书的估计得耐心点看。
剧情发展超级慢，各种大段的对白，所有的人物不停的说话从一个场景到另一个场景，每段对话都在十分钟左右：（，vvvv
不跟我推荐这部剧的都是坏人！这么多露肉虐杀重口味场景！突然觉得把软妹子操得啪啪响其实是件很带感的事情啊！（喂）
boring
第二季要等到明年！摔坑爹 呢！！布兰大法师要红了啊！！
1：在这里我看到了据说是作为人的所有部位；2：制作堪称精良，确是精品；3：这种剧情在两千多年天朝封建史只不过是渣渣，包括现在的政治局。9.2分
最喜欢的是小恶魔。。。
追
很不错！
哈哈 开始第二季。。。
忍不住在下一季出来前结束了它- -唉= =
"eeeeeeeeeeeeeexquisite!!!!!!完全爱上Danis了！！！！女神！！！！！！！Aya我也很爱！！！！！！！！！煞笔Joffery赶紧的死啊那个脸看不下去了！！！！[When you play the game of throne, you win or you die.]"
amazing
1.这剧拍的还是有点省钱，期待中如指环王般的鸿篇巨制感木有出来。2.萌布兰一出，英伦正太团从此后继有人了。3.小侏儒演技赞，最爱就是他。4.有没好心原著党给剧透一下？狼族黑衣人班扬叔最后下落如何？是不是已经领完便当完成历史使命从此退出舞台了？从《鸟鸣》开始就超爱这位叔的细眼睛。
太棒了。。。坐等第二季
异常的期待第三季
历史的淬炼，恢弘的诠释，架空的史诗，想象的极致，完美再现出原著的精髓，好看到难以置信。
权力斗争外加魔幻色彩 连续剧却有大片的感觉
史诗开篇，浩然荡气，每个国度每条线索都举足轻重，大有风光，实在是恢弘而奇幻得让人折服。好多角色颇有魅力，特别是Daenerys、Drogo、Arya、Catelyn和Renly，而能见回Skins里的Chris和QAF里的Stuart则是最开心的了，期待Cassie入队。哈哈，不要问我为什么现在才看完……
遠勝國產電電視劇
HBO出品，必属精品
神剧诞生
终于看到龙了……不容易啊
1、演卓戈的人真不容易，从头到尾没说两句正常话。2、他和龙妈之间有最萌身高差。3、好人都傻到让人很难产生同情。4、而坏人都傻到让人恨不起来。
凛冬降至。
「长夜将至，我从今开始守望，至死方休。我将不娶妻，不封地，不生子。我将不戴宝冠，不争荣宠。我将尽忠职守，生死于斯。我是黑暗中的利剑，长城上的守卫，抵御寒冷的烈焰，破晓时分的光线，唤醒眠者的号角，守护王国的坚盾。我将生命与荣耀献给守夜人，今夜如此，夜夜皆然。」——守夜人的誓言
