comments
龙女原来走的是我党的路子！！！
冰火3让观众都成了抖M，越虐越爽，话说本剧虽然没有主角光环，但是有残疾人光环！什么？还有这样的好事？没错！只要你残废了，不管是断手（詹姆士）、断脚（布兰）、眼瞎（暂不剧透）、毁容（小恶魔），那么恭喜你，你至少可以多活一季！别看好胳膊好腿们现在得瑟，他下一秒马上就要便当了！
主角一下死了好几个，吓死我了，工资没有谈拢么。
上一季找到对象的各位，这一季又纷纷分手了
很难说詹姆和布雷尼谁更需要谁。布雷尼在詹姆那里找到了保护别人的寄托，以及骑士之间的情谊。詹姆则因为布雷尼，回想起了自己身为骑士的骄傲，荣誉，和关于人的尊重。总之他们都找回了人性里柔软又珍贵的部分；当他跳下去那一瞬，他不再是当初被迫但后来自己也习惯的弑君者的角色，他变回真正的骑士。

等冰火的卷6等到打滚，剧嘛，有一搭……没一搭。擦，这书和剧其实都挺坑爹的。书根本可以拆成七八本系列丛书分别买啊，剧其实是七八个电视电影啊！老子本本都买、集集都下好浪费的，老子就想看《生了仨丑货的嫩美妈》、《牛逼的矮子》、《兰尼斯特家的奸情》《大小姐怎么嫁给暗恋过妈妈的人》啊！！！
本日，我国领导人丹尼莉丝·塔格里安·风暴降生·浴火重生，龙之母，维斯特洛七国国母赴云凯访问，与当地村官亲切会晤，并就村民归属问题达成一致。
史塔克算是最悲惨的家族了，原本死于婚礼的罗伯目前健在，布兰瘸了腿逃到了塞外，艾丽娅瞎了双眼，而snow则当上司令官不久被人刺杀。不过苦逼莫过于小恶魔，被父亲百般羞辱，被姐姐外甥相逼，看来弑父这个冲突不会改动。龙妈这条线最真善美了。
就血婚那集能让那么多人哭我真是不解了，就罗伯这种男人，为了个人小情小爱，一点君王气质都没有，被算计了活该，他当帝王才是扯淡。再看看龙女，一路走来一路解放奴隶收复城镇，这就是狼家与龙家的差距

玩真爱死全家
看完《霍比特人》觉得《冰与火之歌》的制作成本好可怜啊。每分钟300万美元PK每分钟10万美元。哎...脑补彼得·杰克逊拍冰与火之歌中......
越来越好看啦~~~唉小恶魔你爹就是外貌协会的VIP会员
现在最喜欢看到龙女
罗柏大傻逼和他的傻逼妻子早点死死掉大快人心 可惜了他妈
Hodor~Hodor~Hodor Hodor Hodor~
有一种强烈的预感，马丁大叔要是再不加把力把书出完，萝莉和正太就要残光了。龙女这条线越来越无聊了，就一开超级外挂的revolutionist
脑残粉不用看直接5星好嘛！！！
事实证明，艾德·史塔克当不了王，只能当诸侯，因为明察世事，但心慈手软；罗柏·史塔克连诸侯都当不了，只能当个将军，因为脑子灵活兵出险着，但完全不懂人心。
龙女的故事告诉我们，心眼 武力 人脉 财力等等这些统统没用，出身决定一切。
