comments
罗医生本命❤                       751
呵呵，为什么我喜欢的都好长。。。
太长了不追了。。。
小学追到大学的动漫  记得第一次看时还很嫌弃 人画那么丑  什么鬼 有点傻 但之后跟着弟弟看  一次一次打脸 脸都被打肿了  一看就完全停不下来  超级燃  鲁夫 艾斯  朵拉法尔加罗 索隆 香吉士 娜美 罗宾 乔巴 佛朗基 骗人布 布鲁克…不墨迹了 去看吧 保质保量
这是一个有趣的海盗故事，以它独特的手法，将故事很好地展开。不过《海贼王》对我来说并没有超出一般寻宝片的范畴，拍得不错，但无什么特别之处。
蛇姬不赖啊
没完没了，从靓靴发展到裹脚布
很喜欢，剧情很赞，但是怎么说呢，年纪大了就不那么爱看热血漫了，不是海贼变了而是我们变老了
从小追到现在的动画，过了热血的年纪还是追得不亦乐乎，吸引人入坑的大概是这是一个有关梦想的故事，而路飞索隆他们都陪着我们长大了，而隔壁的柯南还在上一年级。艾斯死的时候在寝室哭了，好在萨博又回来了。喜欢索隆和罗，路飞不敢爱，感觉他就是一个单纯善良的孩子，然后靠着这两点多少人为他牺牲。
祈望梦想与自由
最好看的动漫，教会我很多道理的动漫，能使心灵成长的动漫。世界那么大，带你去看看！Here we go👊💪
《海贼王》里面，最让人深刻的，不是热血漫天的战斗，不是林林总总的恶魔果实，而是触及心底的感动。在海贼王里，无论是亲情、友情，抑或是同伴之情，都表达得淋漓尽致，而且从不遮掩。像顶上之战，艾斯即将被处刑的时候，视艾斯为珍重之人的人都前来营救。
大爱中..追看
闺蜜特喜欢，一直在追。
梅丽号死掉的那一集永远是催泪点 那首歌也是最爱。
热血与感动同在，这部剧给我最大的感触是其现实意义。还有里面的亲情，友情，罗宾加入那部分，艾斯和白胡子死的时候，索隆为了路飞向鹰眼下跪那幕。。等等，让人感动落泪。
连集看的时候很爽，后面等更新的时候觉得剧情真的好慢啊，一集出一个绝招还出不完。
1-545
比机器猫好看吧，应该是了，每一集都奇幻又搞笑还励志，虽然连起来看没多大逻辑性。
13集左右
小时候在星空台看的，算是童年回忆吧，那个时候路飞还叫鲁夫233
"追啊追啊追,,,,不知道死的那天會不會出完~"
10
兴冲冲地下了200多集，结果死撑看到40来集极限了，看不下去，没新梗，又不搞笑，就单纯励志什么的，也没有热血啊。反正我不是海贼饭。
大长篇之三
大爱啊
晴儿的挚爱，但我真的追不动。无爱热血，鄙夷拖沓，弃。

太长……囧。
神作
搞笑再多点呀~~~吼吼哦
好爱索隆！！！
最爱木有之一
小时候在乡下我所看的所有日漫都来自于星空台啊
bleed it out
热血感动！
梦想是没有尽头的……
good!
最爱
看得我废寝忘食
看到60集。那个时候看不下去了。不知道什么时候有时间再捡起来接着看。
燃
色彩色彩
罗宾酱大好き！！！
啥都好 就是动画出的太慢，太长了
【已弃剧【videogame还在玩
太好了
幽默加热血加冒险。。。代表我们这一时代的动画
第6話 TuT
120729（OP已经在“在看”中占了几年的位子，如今决定先将OP歇歇，反正入土之前等不等得到结局都还未知）（comic book 456，comic movie 638）
很好玩 哈哈
太可爱的一帮人。
我是要成为海贼王的男人，好看。
"很热血~
虽然才看了一点~
抱着不能落伍的心态看的~
不错~"
最近在看　很稀饭！！
追了半年
每次看的时候都会无比怀念以前看火影的时光 那时候海贼王跟火影是差不多时间出的 我都看火影没看这个 现在住院每天看电视放海贼王 挺搞笑也不错哈
小时候看了一点点。。。
个人看不下去 但是画的好
经典动漫改编的动画，自由热血，让人向往。
都是已经停追的漫了，哎，高中最大乐趣啊。。。
我爱热血漫！
热血！！！！！！
47
4颗半星
路飞路飞
动画弱爆了，弃番
最爱。
也许会步火影后尘
又狗血又彪悍 泪流满面吧火红的太阳正冉冉升起！！
长。。。
世界时追求自由的世界！
热血热血还是热血！！！！！！！！
不用说也知道的吧？不过我还是很想念索隆了……他什么时候回来……草帽海贼团团聚了才更好玩啊……
不止一次 看着看着哭的一塌糊涂  不过 热爱终身的动漫  神作 海贼王
真棒
梦想，伙伴
热血长漫的通病就是动画作画很难精细。
一直在追 one piece
集数永远都是未确定未确定未确定吧。。。话说最近我从第一集又开始。看看什么时候能到五百集。
终于追上进度了
“OP是用猫和老鼠的搞笑方式，机器猫的想象力，阿拉丁神灯的奇妙历程，来表达肖申克救赎的人生观，阿甘正传的世界观，从而引发出辛德勒名单般的人性史诗。”
关于自由和梦想豪气干云的冒险史诗，充满世故人情耐人寻味的童话。宏大的世界观和精彩的伏笔，富有想象力的设定及饶有趣味的神话传说取材，对正义/战争/真相/土地/阶级/种族等问题的关注和追问，使得OP成为当之无愧的少年动漫No.1。这些光彩夺目的少年，高唱“宾克斯的酒”，乘风破浪，一路万里阳光~
没有比这个更让人感动得了。追到中年我也认了。
